המתאר המילוני של המילה "המתאר" הוא כדלקמן:

מילה: המתאר
אפיון: עצם זכר, יחיד, נקבה, רבים
גזע: מתאר
צורה פועלת: מתאר, מתארת, מתארים, מתארות
צורה פועלת עברה: התאיר, התארה, התארו, התארו
צורה פועלת עתידית: יתאיר, תתאיר, יתאירו, תתאירו
צורה פועלת עברה ועתידית: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: מתאיר, מתאירה, מתאירים, מתאירות
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ופועלת: התאיר, התאירה, התאירו, התאירו
צורה פועלת עברה ועתידית ופועלת עברה ופועלת עברה ופועלת עברה ופועלת עברה ו
